county,date,total_population_cases,general_public_cases,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered,cumulative_homeless_cases,homless_population_by_percentage ,total_population_by_percentage ,general_public_population_by_percentage
San Francisco,4/15/2020,987,868,1012,751,0,0,0,119,1.216271464,0.111739433,0.09936796
San Francisco,4/16/2020,1013,893,1271,748,0,0,0,120,1.226492232,0.114682924,0.102229941
San Francisco,4/17/2020,1019,896,1271,748,0,0,0,123,1.257154538,0.115362191,0.102573378
San Francisco,4/18/2020,1058,935,1271,710,0,0,0,123,1.257154538,0.119777427,0.107038068
San Francisco,4/19/2020,1137,1011,1273,725,0,0,0,126,1.287816844,0.12872111,0.115738488
San Francisco,4/20/2020,1157,1030,1273,718,0,0,0,127,1.298037612,0.130985333,0.117913593
San Francisco,4/21/2020,1216,1088,1273,737,0,0,0,128,1.308258381,0.137664793,0.124553388
San Francisco,4/22/2020,1231,1102,1328,729,0,0,0,129,1.31847915,0.139362961,0.126156097
San Francisco,4/23/2020,1233,1104,1328,809,91,59,0,129,1.31847915,0.139589383,0.126385055
San Francisco,4/24/2020,1302,1171,1434,864,91,91,0,131,1.338920687,0.147400954,0.134055163
San Francisco,4/25/2020,1340,1209,1434,873,91,91,0,131,1.338920687,0.151702979,0.138405373
San Francisco,4/26/2020,1354,1221,1431,874,91,91,0,133,1.359362224,0.153287936,0.139779124
San Francisco,4/27/2020,1408,1272,1805,880,91,91,0,136,1.39002453,0.159401339,0.145617564
San Francisco,4/28/2020,1424,1286,1805,887,91,91,0,138,1.410466067,0.161212718,0.147220273
San Francisco,4/29/2020,1468,1327,1805,890,91,91,0,141,1.441128373,0.16619401,0.151913921
San Francisco,4/30/2020,1490,1348,1807,906,91,91,0,142,1.451349141,0.168684656,0.154317984
San Francisco,5/1/2020,1499,1356,1795,895,91,91,0,143,1.46156991,0.169703557,0.155233818
San Francisco,5/2/2020,1523,1376,1795,904,91,91,0,147,1.502452984,0.172420625,0.157523402
San Francisco,5/3/2020,1543,1396,1795,906,91,91,0,147,1.502452984,0.174684848,0.159812987
San Francisco,5/4/2020,1602,1453,1795,965,91,91,0,149,1.522894522,0.181364308,0.166338302
San Francisco,5/5/2020,1624,1474,1795,973,91,91,0,150,1.53311529,0.183854954,0.168742366
San Francisco,5/6/2020,1728,1574,1795,981,91,91,0,154,1.573998365,0.195628916,0.180190287
San Francisco,5/7/2020,1754,1600,1795,999,91,91,0,154,1.573998365,0.198572407,0.183166747
San Francisco,5/8/2020,1806,1652,1795,984,91,91,0,154,1.573998365,0.204459388,0.189119666
San Francisco,5/9/2020,1853,1699,2351,987,91,91,0,154,1.573998365,0.209780314,0.194500189
San Francisco,5/10/2020,1891,1737,2351,984,91,91,0,154,1.573998365,0.214082338,0.1988504
San Francisco,5/11/2020,1943,1788,2351,974,91,91,0,155,1.584219133,0.21996932,0.20468884
San Francisco,5/12/2020,1954,1799,2508,978,91,91,0,155,1.584219133,0.221214643,0.205948111
San Francisco,5/13/2020,1977,1822,2508,990,91,91,0,155,1.584219133,0.2238185,0.208581133
San Francisco,5/14/2020,1994,1839,2508,995,91,91,0,155,1.584219133,0.22574309,0.21052728
San Francisco,5/15/2020,1999,1844,2508,988,91,91,0,155,1.584219133,0.226309146,0.211099676
San Francisco,5/16/2020,2026,1871,2508,978,91,91,0,155,1.584219133,0.229365848,0.214190615
San Francisco,5/17/2020,2054,1898,2508,995,91,91,0,156,1.594439902,0.232535761,0.217281554
San Francisco,5/18/2020,2091,1934,2678,982,91,91,0,157,1.60466067,0.236724574,0.221402805
San Francisco,5/19/2020,2131,1973,2678,988,91,91,0,158,1.614881439,0.241253021,0.225867495
San Francisco,5/20/2020,2179,2020,2678,999,91,91,0,159,1.625102208,0.246687158,0.231248018
San Francisco,5/21/2020,2185,2026,2678,1011,91,91,0,159,1.625102208,0.247366425,0.231934893
San Francisco,5/22/2020,2198,2039,2678,1035,91,91,0,159,1.625102208,0.24883817,0.233423123
San Francisco,5/23/2020,2320,2161,2678,1046,91,91,0,159,1.625102208,0.262649934,0.247389588
San Francisco,5/24/2020,2350,2190,2678,1047,91,91,0,160,1.635322976,0.266046269,0.250709485
San Francisco,5/25/2020,2367,2207,2678,1074,91,91,0,160,1.635322976,0.267970859,0.252655632
San Francisco,5/26/2020,2386,2226,2678,1057,91,91,0,160,1.635322976,0.270121872,0.254830737
San Francisco,5/27/2020,2399,2238,2678,1070,91,91,0,161,1.645543745,0.271593617,0.256204487
San Francisco,5/28/2020,2408,2247,2678,1081,91,91,0,161,1.645543745,0.272612518,0.2572348
San Francisco,5/29/2020,2437,2274,2809,1154,91,91,0,163,1.665985282,0.275895642,0.260325739
San Francisco,6/1/2020,2588,2421,2809,1154,91,91,0,167,1.706868357,0.29299053,0.277154184
San Francisco,6/2/2020,2570,2403,2253,1176,91,91,0,167,1.706868357,0.290952729,0.275093558
San Francisco,6/3/2020,2587,2419,2253,1200,91,91,0,168,1.717089125,0.292877319,0.276925226
San Francisco,6/4/2020,2613,2443,2253,1223,91,91,0,170,1.737530662,0.295820809,0.279672727
